disease,symptoms
Common Cold,"runny nose,sore throat,cough,sneezing,headache"
Influenza (Flu),"fever,cough,sore throat,muscle aches,fatigue,headache,chills"
Pneumonia,"cough,fever,chills,difficulty breathing,chest pain"
Strep Throat,"sore throat,fever,swollen tonsils,pain when swallowing,red spots in throat"
Migraine,"headache,nausea,vomiting,sensitivity to light,sensitivity to sound,aura"
Allergic Rhinitis,"sneezing,runny nose,itchy eyes,congestion,postnasal drip"
Gastroenteritis,"diarrhea,vomiting,stomach pain,fever,dehydration"
COVID-19,"fever,cough,fatigue,loss of taste,loss of smell,sore throat,shortness of breath"
Bronchitis,"cough,mucus production,fatigue,shortness of breath,chest discomfort,wheezing"
Asthma,"shortness of breath,wheezing,chest tightness,coughing (especially at night)"
Tuberculosis,"persistent cough (lasting >3 weeks),fever,night sweats,weight loss,coughing blood"
Hypertension (High Blood Pressure),"headache,dizziness,blurred vision,chest pain,often asymptomatic"
Diabetes Mellitus,"frequent urination,increased thirst,increased hunger,fatigue,slow healing wounds"
Anemia,"fatigue,pale skin,shortness of breath,dizziness,weakness"
Urinary Tract Infection (UTI),"burning sensation when urinating,frequent urination,cloudy urine,pelvic pain"
Appendicitis,"abdominal pain (lower right),loss of appetite,nausea,vomiting,fever"
Chickenpox,"itchy rash,blisters,fever,fatigue,loss of appetite"
Measles,"fever,cough,runny nose,red eyes,skin rash"
Meningitis,"severe headache,stiff neck,fever,nausea,sensitivity to light,confusion"
Otitis Media (Ear Infection),"ear pain,fever,irritability,hearing loss,fluid drainage from ear"
Sinusitis,"facial pain,congestion,runny nose,fever,cough,headache"
Gastroesophageal Reflux Disease (GERD),"heartburn,regurgitation,chest pain,difficulty swallowing,cough"
Irritable Bowel Syndrome (IBS),"abdominal pain,bloating,diarrhea,constipation,mucus in stool"
Depression,"persistent sadness,loss of interest,fatigue,changes in appetite,sleep disturbances"
Anxiety Disorder,"excessive worry,restlessness,fatigue,difficulty concentrating,irritability"
Hypertensive Crisis,"severe headache,shortness of breath,nosebleeds,severe anxiety,chest pain"
Stroke,"sudden numbness or weakness (especially on one side),confusion,trouble speaking,vision problems,dizziness,loss of balance"
Heart Attack,"chest pain or discomfort,shortness of breath,nausea,cold sweats,lightheadedness"
Chronic Obstructive Pulmonary Disease (COPD),"shortness of breath,chronic cough,mucus production,wheezing,fatigue"
Osteoarthritis,"joint pain,stiffness,swelling,decreased range of motion,grating sensation in joints"
Rheumatoid Arthritis,"joint pain,swelling,stiffness (especially in the morning),fatigue,fever"
Gout,"sudden severe joint pain,redness,swelling,heat in affected joint,limited range of motion"
Hypothyroidism,"fatigue,weight gain,cold intolerance,constipation,dry skin,hoarseness"
Hyperthyroidism,"weight loss,heat intolerance,increased appetite,nervousness,tremors,rapid heartbeat"
Migraine with Aura,"headache,nausea,vomiting,sensitivity to light,sensitivity to sound,aura,visual disturbances"
Lyme Disease,"fever,headache,fatigue,skin rash (erythema migrans),joint pain"
Chickenpox,"itchy rash,blisters,fever,fatigue,loss of appetite"
Shingles,"painful rash,blisters,itching,tingling,sensitivity to touch,fever"
Eczema (Atopic Dermatitis),"itchy skin,redness,dryness,swelling,crusting"
Psoriasis,"red patches of skin,scaling,itching,dryness,cracking"
Acne,"pimples,blackheads,whiteheads,oily skin,inflammation"
Rosacea,"facial redness,visible blood vessels,pimples,thickened skin,eye irritation"
Hepatitis B,"fatigue,jaundice,abdominal pain,loss of appetite,nausea,vomiting"
Hepatitis C,"fatigue,jaundice,abdominal pain,loss of appetite,nausea,vomiting"
HIV/AIDS,"flu-like symptoms,weight loss,night sweats,swollen lymph nodes,frequent infections"
Lyme Disease,"fever,headache,fatigue,skin rash (erythema migrans),joint pain"
Zika Virus,"fever,rash,joint pain,red eyes,muscle pain,headache"
Dengue Fever,"high fever,severe headache,pain behind the eyes,joint and muscle pain,rash"
Chikungunya,"fever,joint pain,rash,headache,muscle pain"
Ebola Virus Disease,"fever,headache,muscle pain,weakness,fatigue,diarrhea,vomiting"
Lassa Fever,"fever,muscle pain,sore throat,headache,vomiting,diarrhea"
Marburg Virus Disease,"fever,headache,muscle pain,weakness,fatigue,diarrhea,vomiting"
Zoster (Shingles),"painful rash,blisters,itching,tingling,sensitivity to touch,fever"




